anomaly_id,detected_timestamp,asset_category,asset_id,asset_name,location,vessel_or_terminal,parameter_name,current_value,expected_value,lower_threshold,upper_threshold,deviation_percentage,severity,anomaly_type,probable_cause,confidence_score,recommended_action,potential_consequence,owner,status,work_order_reference
ANM-0019,2026-07-22T02:00:00,Quay Crane,QC-03,Quay Crane 03,Berth 3,North Container Terminal,Motor temperature (°C),77.86,68.0,40.0,82.0,14.5,High,Baseline deviation,Elevated duty cycle,81.0,Inspect crane subsystem during the next controlled pause,Reduced crane availability or extended container cycle time,Unassigned,Acknowledged,
ANM-0020,2026-07-21T21:00:00,Quay Crane,QC-04,Quay Crane 04,Berth 4,South Container Terminal,Electrical current (A),381.3,310.0,220.0,380.0,23.0,Critical,Persistent drift,Hoist-drive wear trend,85.7,Validate instrumentation and review recent lift cycles,Reduced crane availability or extended container cycle time,Digital Operations Analyst,Monitoring,
ANM-0021,2026-07-21T16:00:00,Quay Crane,QC-05,Quay Crane 05,Berth 1,North Container Terminal,Hoist-cycle time (s),85.92,96.0,75.0,120.0,10.5,Medium,Threshold breach,Hydraulic restriction,96.2,Inspect crane subsystem during the next controlled pause,Reduced crane availability or extended container cycle time,Unassigned,Inspection Initiated,
ANM-0022,2026-07-21T11:00:00,Quay Crane,QC-06,Quay Crane 06,Berth 2,South Container Terminal,Vibration (mm/s),4.1,3.5,0.0,6.5,17.1,High,Rate-of-change,Elevated duty cycle,95.2,Validate instrumentation and review recent lift cycles,Reduced crane availability or extended container cycle time,Unassigned,Closed,
ANM-0023,2026-07-21T06:00:00,Quay Crane,QC-07,Quay Crane 07,Berth 3,North Container Terminal,Hydraulic pressure (bar),270.9,215.0,185.0,245.0,26.0,Critical,Baseline deviation,Hoist-drive wear trend,97.9,Inspect crane subsystem during the next controlled pause,Reduced crane availability or extended container cycle time,Digital Operations Analyst,New,
ANM-0024,2026-07-21T01:00:00,Quay Crane,QC-08,Quay Crane 08,Berth 4,South Container Terminal,Motor temperature (°C),64.46,68.0,40.0,82.0,5.2,Low,Persistent drift,Hydraulic restriction,96.0,Validate instrumentation and review recent lift cycles,Reduced crane availability or extended container cycle time,Unassigned,Acknowledged,
ANM-0025,2026-07-22T10:00:00,Reefer Container,RF-2600,Reefer Container RF-2600,Reefer Stack R1,North Container Terminal,Actual temperature (°C),-18.68,-18.0,-22.0,-14.0,3.8,Low,Threshold breach,Door-seal leakage indication,96.7,Verify power and inspect reefer condition,Potential cargo-temperature excursion if the condition persists,Digital Operations Analyst,New,
ANM-0026,2026-07-22T05:00:00,Reefer Container,RF-2601,Reefer Container RF-2601,Reefer Stack R2,South Container Terminal,Set-point temperature (°C),-16.52,-18.0,-22.0,-14.0,8.2,Medium,Rate-of-change,Airflow restriction,85.7,"Check set point, airflow and door closure",Potential cargo-temperature excursion if the condition persists,Unassigned,New,
ANM-0027,2026-07-22T00:00:00,Reefer Container,RF-2602,Reefer Container RF-2602,Reefer Stack R3,North Container Terminal,Supply-air temperature (°C),-21.75,-19.0,-23.0,-15.0,14.5,High,Baseline deviation,Intermittent simulated power state,78.4,Verify power and inspect reefer condition,Potential cargo-temperature excursion if the condition persists,Unassigned,Acknowledged,
ANM-0028,2026-07-21T19:00:00,Reefer Container,RF-2603,Reefer Container RF-2603,Reefer Stack R4,South Container Terminal,Return-air temperature (°C),-12.32,-16.0,-20.0,-12.0,23.0,Critical,Persistent drift,Door-seal leakage indication,94.0,"Check set point, airflow and door closure",Potential cargo-temperature excursion if the condition persists,Digital Operations Analyst,Monitoring,
ANM-0029,2026-07-21T14:00:00,Reefer Container,RF-2604,Reefer Container RF-2604,Reefer Stack R1,North Container Terminal,Power status (%),110.5,100.0,95.0,100.0,10.5,Medium,Threshold breach,Airflow restriction,96.1,Verify power and inspect reefer condition,Potential cargo-temperature excursion if the condition persists,Unassigned,Inspection Initiated,
ANM-0030,2026-07-21T09:00:00,Reefer Container,RF-2605,Reefer Container RF-2605,Reefer Stack R2,South Container Terminal,Actual temperature (°C),-14.9,-18.0,-22.0,-14.0,17.2,High,Rate-of-change,Intermittent simulated power state,92.6,"Check set point, airflow and door closure",Potential cargo-temperature excursion if the condition persists,Unassigned,Closed,
ANM-0031,2026-07-21T04:00:00,Reefer Container,RF-2606,Reefer Container RF-2606,Reefer Stack R3,North Container Terminal,Set-point temperature (°C),-22.68,-18.0,-22.0,-14.0,26.0,Critical,Baseline deviation,Door-seal leakage indication,87.0,Verify power and inspect reefer condition,Potential cargo-temperature excursion if the condition persists,Digital Operations Analyst,New,
ANM-0032,2026-07-20T23:00:00,Reefer Container,RF-2607,Reefer Container RF-2607,Reefer Stack R4,South Container Terminal,Supply-air temperature (°C),-18.01,-19.0,-23.0,-15.0,5.2,Low,Persistent drift,Airflow restriction,89.8,"Check set point, airflow and door closure",Potential cargo-temperature excursion if the condition persists,Unassigned,Acknowledged,
