anomaly_id,timestamp,parameter_name,actual_reading,expected_baseline,lower_threshold,upper_threshold,is_detection_point
ANM-0002,2026-07-22T03:00:00,Jacket-water temperature (°C),83.462,82.0,72.0,92.0,False
ANM-0002,2026-07-22T04:00:00,Jacket-water temperature (°C),82.265,82.0,72.0,92.0,False
ANM-0002,2026-07-22T05:00:00,Jacket-water temperature (°C),83.005,82.0,72.0,92.0,False
ANM-0002,2026-07-22T06:00:00,Jacket-water temperature (°C),84.269,82.0,72.0,92.0,False
ANM-0002,2026-07-22T07:00:00,Jacket-water temperature (°C),84.617,82.0,72.0,92.0,False
ANM-0002,2026-07-22T08:00:00,Jacket-water temperature (°C),86.358,82.0,72.0,92.0,False
ANM-0002,2026-07-22T09:00:00,Jacket-water temperature (°C),84.299,82.0,72.0,92.0,False
ANM-0002,2026-07-22T10:00:00,Jacket-water temperature (°C),87.34,82.0,72.0,92.0,False
ANM-0002,2026-07-22T11:00:00,Jacket-water temperature (°C),88.162,82.0,72.0,92.0,True
ANM-0003,2026-07-21T06:00:00,Vibration (mm/s),4.256,4.2,0.0,7.0,False
ANM-0003,2026-07-21T07:00:00,Vibration (mm/s),4.286,4.2,0.0,7.0,False
ANM-0003,2026-07-21T08:00:00,Vibration (mm/s),4.294,4.2,0.0,7.0,False
ANM-0003,2026-07-21T09:00:00,Vibration (mm/s),4.131,4.2,0.0,7.0,False
ANM-0003,2026-07-21T10:00:00,Vibration (mm/s),4.241,4.2,0.0,7.0,False
ANM-0003,2026-07-21T11:00:00,Vibration (mm/s),4.064,4.2,0.0,7.0,False
ANM-0003,2026-07-21T12:00:00,Vibration (mm/s),4.165,4.2,0.0,7.0,False
ANM-0003,2026-07-21T13:00:00,Vibration (mm/s),4.183,4.2,0.0,7.0,False
ANM-0003,2026-07-21T14:00:00,Vibration (mm/s),4.186,4.2,0.0,7.0,False
ANM-0003,2026-07-21T15:00:00,Vibration (mm/s),4.179,4.2,0.0,7.0,False
ANM-0003,2026-07-21T16:00:00,Vibration (mm/s),4.272,4.2,0.0,7.0,False
ANM-0003,2026-07-21T17:00:00,Vibration (mm/s),4.046,4.2,0.0,7.0,False
ANM-0003,2026-07-21T18:00:00,Vibration (mm/s),4.214,4.2,0.0,7.0,False
ANM-0003,2026-07-21T19:00:00,Vibration (mm/s),4.142,4.2,0.0,7.0,False
ANM-0003,2026-07-21T20:00:00,Vibration (mm/s),4.182,4.2,0.0,7.0,False
ANM-0003,2026-07-21T21:00:00,Vibration (mm/s),4.319,4.2,0.0,7.0,False
ANM-0003,2026-07-21T22:00:00,Vibration (mm/s),4.305,4.2,0.0,7.0,False
ANM-0003,2026-07-21T23:00:00,Vibration (mm/s),4.215,4.2,0.0,7.0,False
ANM-0003,2026-07-22T00:00:00,Vibration (mm/s),4.486,4.2,0.0,7.0,False
ANM-0003,2026-07-22T01:00:00,Vibration (mm/s),4.381,4.2,0.0,7.0,False
ANM-0003,2026-07-22T02:00:00,Vibration (mm/s),4.494,4.2,0.0,7.0,False
ANM-0003,2026-07-22T03:00:00,Vibration (mm/s),4.638,4.2,0.0,7.0,False
ANM-0003,2026-07-22T04:00:00,Vibration (mm/s),4.594,4.2,0.0,7.0,False
ANM-0003,2026-07-22T05:00:00,Vibration (mm/s),4.693,4.2,0.0,7.0,False
ANM-0003,2026-07-22T06:00:00,Vibration (mm/s),4.883,4.2,0.0,7.0,True
ANM-0004,2026-07-21T01:00:00,Engine load (%),71.488,72.0,35.0,90.0,False
ANM-0004,2026-07-21T02:00:00,Engine load (%),70.32,72.0,35.0,90.0,False
ANM-0004,2026-07-21T03:00:00,Engine load (%),73.919,72.0,35.0,90.0,False
ANM-0004,2026-07-21T04:00:00,Engine load (%),71.589,72.0,35.0,90.0,False
ANM-0004,2026-07-21T05:00:00,Engine load (%),72.508,72.0,35.0,90.0,False
ANM-0004,2026-07-21T06:00:00,Engine load (%),70.847,72.0,35.0,90.0,False
ANM-0004,2026-07-21T07:00:00,Engine load (%),73.736,72.0,35.0,90.0,False
ANM-0004,2026-07-21T08:00:00,Engine load (%),70.867,72.0,35.0,90.0,False
ANM-0004,2026-07-21T09:00:00,Engine load (%),71.655,72.0,35.0,90.0,False
ANM-0004,2026-07-21T10:00:00,Engine load (%),74.038,72.0,35.0,90.0,False
ANM-0004,2026-07-21T11:00:00,Engine load (%),72.622,72.0,35.0,90.0,False
ANM-0004,2026-07-21T12:00:00,Engine load (%),71.699,72.0,35.0,90.0,False
ANM-0004,2026-07-21T13:00:00,Engine load (%),73.13,72.0,35.0,90.0,False
ANM-0004,2026-07-21T14:00:00,Engine load (%),72.151,72.0,35.0,90.0,False
ANM-0004,2026-07-21T15:00:00,Engine load (%),72.039,72.0,35.0,90.0,False
ANM-0004,2026-07-21T16:00:00,Engine load (%),71.492,72.0,35.0,90.0,False
ANM-0004,2026-07-21T17:00:00,Engine load (%),71.182,72.0,35.0,90.0,False
ANM-0004,2026-07-21T18:00:00,Engine load (%),71.256,72.0,35.0,90.0,False
ANM-0004,2026-07-21T19:00:00,Engine load (%),68.956,72.0,35.0,90.0,False
ANM-0004,2026-07-21T20:00:00,Engine load (%),66.709,72.0,35.0,90.0,False
ANM-0004,2026-07-21T21:00:00,Engine load (%),65.062,72.0,35.0,90.0,False
ANM-0004,2026-07-21T22:00:00,Engine load (%),62.636,72.0,35.0,90.0,False
ANM-0004,2026-07-21T23:00:00,Engine load (%),60.066,72.0,35.0,90.0,False
ANM-0004,2026-07-22T00:00:00,Engine load (%),57.843,72.0,35.0,90.0,False
ANM-0004,2026-07-22T01:00:00,Engine load (%),55.202,72.0,35.0,90.0,True
ANM-0005,2026-07-20T20:00:00,Fuel consumption (t/day),31.153,31.0,25.0,38.0,False
ANM-0005,2026-07-20T21:00:00,Fuel consumption (t/day),31.591,31.0,25.0,38.0,False
ANM-0005,2026-07-20T22:00:00,Fuel consumption (t/day),30.902,31.0,25.0,38.0,False
ANM-0005,2026-07-20T23:00:00,Fuel consumption (t/day),31.863,31.0,25.0,38.0,False
ANM-0005,2026-07-21T00:00:00,Fuel consumption (t/day),31.119,31.0,25.0,38.0,False
ANM-0005,2026-07-21T01:00:00,Fuel consumption (t/day),31.116,31.0,25.0,38.0,False
ANM-0005,2026-07-21T02:00:00,Fuel consumption (t/day),31.361,31.0,25.0,38.0,False
ANM-0005,2026-07-21T03:00:00,Fuel consumption (t/day),30.823,31.0,25.0,38.0,False
ANM-0005,2026-07-21T04:00:00,Fuel consumption (t/day),31.181,31.0,25.0,38.0,False
ANM-0005,2026-07-21T05:00:00,Fuel consumption (t/day),31.264,31.0,25.0,38.0,False
ANM-0005,2026-07-21T06:00:00,Fuel consumption (t/day),31.128,31.0,25.0,38.0,False
ANM-0005,2026-07-21T07:00:00,Fuel consumption (t/day),31.158,31.0,25.0,38.0,False
ANM-0005,2026-07-21T08:00:00,Fuel consumption (t/day),30.504,31.0,25.0,38.0,False
ANM-0005,2026-07-21T09:00:00,Fuel consumption (t/day),31.671,31.0,25.0,38.0,False
ANM-0005,2026-07-21T10:00:00,Fuel consumption (t/day),30.946,31.0,25.0,38.0,False
ANM-0005,2026-07-21T11:00:00,Fuel consumption (t/day),30.067,31.0,25.0,38.0,False
ANM-0005,2026-07-21T12:00:00,Fuel consumption (t/day),31.669,31.0,25.0,38.0,False
ANM-0005,2026-07-21T13:00:00,Fuel consumption (t/day),31.234,31.0,25.0,38.0,False
ANM-0005,2026-07-21T14:00:00,Fuel consumption (t/day),31.619,31.0,25.0,38.0,False
ANM-0005,2026-07-21T15:00:00,Fuel consumption (t/day),31.885,31.0,25.0,38.0,False
ANM-0005,2026-07-21T16:00:00,Fuel consumption (t/day),32.263,31.0,25.0,38.0,False
ANM-0005,2026-07-21T17:00:00,Fuel consumption (t/day),33.092,31.0,25.0,38.0,False
ANM-0005,2026-07-21T18:00:00,Fuel consumption (t/day),34.225,31.0,25.0,38.0,False
ANM-0005,2026-07-21T19:00:00,Fuel consumption (t/day),34.052,31.0,25.0,38.0,False
ANM-0005,2026-07-21T20:00:00,Fuel consumption (t/day),34.631,31.0,25.0,38.0,True
ANM-0006,2026-07-20T15:00:00,Exhaust temperature (°C),384.34,390.0,340.0,450.0,False
ANM-0006,2026-07-20T16:00:00,Exhaust temperature (°C),389.281,390.0,340.0,450.0,False
ANM-0006,2026-07-20T17:00:00,Exhaust temperature (°C),389.367,390.0,340.0,450.0,False
ANM-0006,2026-07-20T18:00:00,Exhaust temperature (°C),392.827,390.0,340.0,450.0,False
ANM-0006,2026-07-20T19:00:00,Exhaust temperature (°C),392.073,390.0,340.0,450.0,False
ANM-0006,2026-07-20T20:00:00,Exhaust temperature (°C),389.982,390.0,340.0,450.0,False
ANM-0006,2026-07-20T21:00:00,Exhaust temperature (°C),383.216,390.0,340.0,450.0,False
ANM-0006,2026-07-20T22:00:00,Exhaust temperature (°C),383.124,390.0,340.0,450.0,False
ANM-0006,2026-07-20T23:00:00,Exhaust temperature (°C),385.526,390.0,340.0,450.0,False
ANM-0006,2026-07-21T00:00:00,Exhaust temperature (°C),379.9,390.0,340.0,450.0,False
ANM-0006,2026-07-21T01:00:00,Exhaust temperature (°C),384.135,390.0,340.0,450.0,False
ANM-0006,2026-07-21T02:00:00,Exhaust temperature (°C),394.876,390.0,340.0,450.0,False
ANM-0006,2026-07-21T03:00:00,Exhaust temperature (°C),388.096,390.0,340.0,450.0,False
ANM-0006,2026-07-21T04:00:00,Exhaust temperature (°C),383.469,390.0,340.0,450.0,False
ANM-0006,2026-07-21T05:00:00,Exhaust temperature (°C),382.754,390.0,340.0,450.0,False
ANM-0006,2026-07-21T06:00:00,Exhaust temperature (°C),390.758,390.0,340.0,450.0,False
ANM-0006,2026-07-21T07:00:00,Exhaust temperature (°C),390.882,390.0,340.0,450.0,False
ANM-0006,2026-07-21T08:00:00,Exhaust temperature (°C),390.383,390.0,340.0,450.0,False
ANM-0006,2026-07-21T09:00:00,Exhaust temperature (°C),401.358,390.0,340.0,450.0,False
ANM-0006,2026-07-21T10:00:00,Exhaust temperature (°C),408.1,390.0,340.0,450.0,False
ANM-0006,2026-07-21T11:00:00,Exhaust temperature (°C),418.848,390.0,340.0,450.0,False
ANM-0006,2026-07-21T12:00:00,Exhaust temperature (°C),422.732,390.0,340.0,450.0,False
ANM-0006,2026-07-21T13:00:00,Exhaust temperature (°C),435.812,390.0,340.0,450.0,False
ANM-0006,2026-07-21T14:00:00,Exhaust temperature (°C),447.195,390.0,340.0,450.0,False
ANM-0006,2026-07-21T15:00:00,Exhaust temperature (°C),449.299,390.0,340.0,450.0,True
ANM-0007,2026-07-20T10:00:00,Jacket-water temperature (°C),81.631,82.0,72.0,92.0,False
ANM-0007,2026-07-20T11:00:00,Jacket-water temperature (°C),83.923,82.0,72.0,92.0,False
ANM-0007,2026-07-20T12:00:00,Jacket-water temperature (°C),82.416,82.0,72.0,92.0,False
ANM-0007,2026-07-20T13:00:00,Jacket-water temperature (°C),82.42,82.0,72.0,92.0,False
ANM-0007,2026-07-20T14:00:00,Jacket-water temperature (°C),83.039,82.0,72.0,92.0,False
ANM-0007,2026-07-20T15:00:00,Jacket-water temperature (°C),81.98,82.0,72.0,92.0,False
ANM-0007,2026-07-20T16:00:00,Jacket-water temperature (°C),83.922,82.0,72.0,92.0,False
ANM-0007,2026-07-20T17:00:00,Jacket-water temperature (°C),81.243,82.0,72.0,92.0,False
ANM-0007,2026-07-20T18:00:00,Jacket-water temperature (°C),80.846,82.0,72.0,92.0,False
ANM-0007,2026-07-20T19:00:00,Jacket-water temperature (°C),82.192,82.0,72.0,92.0,False
ANM-0007,2026-07-20T20:00:00,Jacket-water temperature (°C),81.526,82.0,72.0,92.0,False
ANM-0007,2026-07-20T21:00:00,Jacket-water temperature (°C),81.077,82.0,72.0,92.0,False
ANM-0007,2026-07-20T22:00:00,Jacket-water temperature (°C),82.018,82.0,72.0,92.0,False
ANM-0007,2026-07-20T23:00:00,Jacket-water temperature (°C),79.731,82.0,72.0,92.0,False
ANM-0007,2026-07-21T00:00:00,Jacket-water temperature (°C),82.324,82.0,72.0,92.0,False
ANM-0007,2026-07-21T01:00:00,Jacket-water temperature (°C),81.349,82.0,72.0,92.0,False
ANM-0007,2026-07-21T02:00:00,Jacket-water temperature (°C),82.153,82.0,72.0,92.0,False
ANM-0007,2026-07-21T03:00:00,Jacket-water temperature (°C),81.126,82.0,72.0,92.0,False
ANM-0007,2026-07-21T04:00:00,Jacket-water temperature (°C),78.494,82.0,72.0,92.0,False
ANM-0007,2026-07-21T05:00:00,Jacket-water temperature (°C),76.836,82.0,72.0,92.0,False
ANM-0007,2026-07-21T06:00:00,Jacket-water temperature (°C),71.851,82.0,72.0,92.0,False
ANM-0007,2026-07-21T07:00:00,Jacket-water temperature (°C),70.942,82.0,72.0,92.0,False
ANM-0007,2026-07-21T08:00:00,Jacket-water temperature (°C),66.426,82.0,72.0,92.0,False
ANM-0007,2026-07-21T09:00:00,Jacket-water temperature (°C),66.035,82.0,72.0,92.0,False
ANM-0007,2026-07-21T10:00:00,Jacket-water temperature (°C),59.239,82.0,72.0,92.0,True
ANM-0008,2026-07-20T05:00:00,Vibration (mm/s),4.173,4.2,0.0,7.0,False
ANM-0008,2026-07-20T06:00:00,Vibration (mm/s),4.329,4.2,0.0,7.0,False
ANM-0008,2026-07-20T07:00:00,Vibration (mm/s),4.14,4.2,0.0,7.0,False
ANM-0008,2026-07-20T08:00:00,Vibration (mm/s),4.085,4.2,0.0,7.0,False
ANM-0008,2026-07-20T09:00:00,Vibration (mm/s),4.19,4.2,0.0,7.0,False
ANM-0008,2026-07-20T10:00:00,Vibration (mm/s),4.214,4.2,0.0,7.0,False
ANM-0008,2026-07-20T11:00:00,Vibration (mm/s),4.168,4.2,0.0,7.0,False
ANM-0008,2026-07-20T12:00:00,Vibration (mm/s),4.197,4.2,0.0,7.0,False
ANM-0008,2026-07-20T13:00:00,Vibration (mm/s),4.175,4.2,0.0,7.0,False
ANM-0008,2026-07-20T14:00:00,Vibration (mm/s),4.149,4.2,0.0,7.0,False
ANM-0008,2026-07-20T15:00:00,Vibration (mm/s),4.068,4.2,0.0,7.0,False
ANM-0008,2026-07-20T16:00:00,Vibration (mm/s),4.26,4.2,0.0,7.0,False
ANM-0008,2026-07-20T17:00:00,Vibration (mm/s),4.253,4.2,0.0,7.0,False
ANM-0008,2026-07-20T18:00:00,Vibration (mm/s),4.129,4.2,0.0,7.0,False
ANM-0008,2026-07-20T19:00:00,Vibration (mm/s),4.296,4.2,0.0,7.0,False
ANM-0008,2026-07-20T20:00:00,Vibration (mm/s),4.193,4.2,0.0,7.0,False
ANM-0008,2026-07-20T21:00:00,Vibration (mm/s),4.232,4.2,0.0,7.0,False
ANM-0008,2026-07-20T22:00:00,Vibration (mm/s),4.158,4.2,0.0,7.0,False
ANM-0008,2026-07-20T23:00:00,Vibration (mm/s),4.309,4.2,0.0,7.0,False
ANM-0008,2026-07-21T00:00:00,Vibration (mm/s),4.418,4.2,0.0,7.0,False
ANM-0008,2026-07-21T01:00:00,Vibration (mm/s),4.346,4.2,0.0,7.0,False
ANM-0008,2026-07-21T02:00:00,Vibration (mm/s),4.356,4.2,0.0,7.0,False
ANM-0008,2026-07-21T03:00:00,Vibration (mm/s),4.252,4.2,0.0,7.0,False
ANM-0008,2026-07-21T04:00:00,Vibration (mm/s),4.442,4.2,0.0,7.0,False
ANM-0008,2026-07-21T05:00:00,Vibration (mm/s),4.358,4.2,0.0,7.0,True
ANM-0009,2026-07-21T14:00:00,Actual fuel consumption (t/day),28.625,29.0,24.0,36.0,False
ANM-0009,2026-07-21T15:00:00,Actual fuel consumption (t/day),29.028,29.0,24.0,36.0,False
ANM-0009,2026-07-21T16:00:00,Actual fuel consumption (t/day),29.275,29.0,24.0,36.0,False
ANM-0009,2026-07-21T17:00:00,Actual fuel consumption (t/day),28.937,29.0,24.0,36.0,False
ANM-0009,2026-07-21T18:00:00,Actual fuel consumption (t/day),29.583,29.0,24.0,36.0,False
ANM-0009,2026-07-21T19:00:00,Actual fuel consumption (t/day),29.313,29.0,24.0,36.0,False
ANM-0009,2026-07-21T20:00:00,Actual fuel consumption (t/day),28.736,29.0,24.0,36.0,False
ANM-0009,2026-07-21T21:00:00,Actual fuel consumption (t/day),29.038,29.0,24.0,36.0,False
ANM-0009,2026-07-21T22:00:00,Actual fuel consumption (t/day),29.405,29.0,24.0,36.0,False
ANM-0009,2026-07-21T23:00:00,Actual fuel consumption (t/day),29.053,29.0,24.0,36.0,False
ANM-0009,2026-07-22T00:00:00,Actual fuel consumption (t/day),29.021,29.0,24.0,36.0,False
ANM-0009,2026-07-22T01:00:00,Actual fuel consumption (t/day),29.707,29.0,24.0,36.0,False
ANM-0009,2026-07-22T02:00:00,Actual fuel consumption (t/day),30.13,29.0,24.0,36.0,False
ANM-0009,2026-07-22T03:00:00,Actual fuel consumption (t/day),29.569,29.0,24.0,36.0,False
ANM-0009,2026-07-22T04:00:00,Actual fuel consumption (t/day),28.449,29.0,24.0,36.0,False
ANM-0009,2026-07-22T05:00:00,Actual fuel consumption (t/day),29.041,29.0,24.0,36.0,False
ANM-0009,2026-07-22T06:00:00,Actual fuel consumption (t/day),28.774,29.0,24.0,36.0,False
ANM-0009,2026-07-22T07:00:00,Actual fuel consumption (t/day),28.546,29.0,24.0,36.0,False
ANM-0009,2026-07-22T08:00:00,Actual fuel consumption (t/day),28.856,29.0,24.0,36.0,False
ANM-0009,2026-07-22T09:00:00,Actual fuel consumption (t/day),28.862,29.0,24.0,36.0,False
ANM-0009,2026-07-22T10:00:00,Actual fuel consumption (t/day),29.285,29.0,24.0,36.0,False
ANM-0009,2026-07-22T11:00:00,Actual fuel consumption (t/day),29.639,29.0,24.0,36.0,False
ANM-0009,2026-07-22T12:00:00,Actual fuel consumption (t/day),29.751,29.0,24.0,36.0,False
ANM-0009,2026-07-22T13:00:00,Actual fuel consumption (t/day),29.971,29.0,24.0,36.0,False
ANM-0009,2026-07-22T14:00:00,Actual fuel consumption (t/day),29.883,29.0,24.0,36.0,True
ANM-0010,2026-07-21T09:00:00,Vessel speed (kn),15.35,15.0,11.0,19.0,False
ANM-0010,2026-07-21T10:00:00,Vessel speed (kn),15.051,15.0,11.0,19.0,False
ANM-0010,2026-07-21T11:00:00,Vessel speed (kn),14.997,15.0,11.0,19.0,False
ANM-0010,2026-07-21T12:00:00,Vessel speed (kn),15.15,15.0,11.0,19.0,False
ANM-0010,2026-07-21T13:00:00,Vessel speed (kn),15.199,15.0,11.0,19.0,False
ANM-0010,2026-07-21T14:00:00,Vessel speed (kn),14.891,15.0,11.0,19.0,False
ANM-0010,2026-07-21T15:00:00,Vessel speed (kn),14.835,15.0,11.0,19.0,False
ANM-0010,2026-07-21T16:00:00,Vessel speed (kn),14.969,15.0,11.0,19.0,False
ANM-0010,2026-07-21T17:00:00,Vessel speed (kn),14.883,15.0,11.0,19.0,False
ANM-0010,2026-07-21T18:00:00,Vessel speed (kn),14.994,15.0,11.0,19.0,False
ANM-0010,2026-07-21T19:00:00,Vessel speed (kn),15.22,15.0,11.0,19.0,False
ANM-0010,2026-07-21T20:00:00,Vessel speed (kn),15.048,15.0,11.0,19.0,False
ANM-0010,2026-07-21T21:00:00,Vessel speed (kn),14.996,15.0,11.0,19.0,False
ANM-0010,2026-07-21T22:00:00,Vessel speed (kn),15.001,15.0,11.0,19.0,False
ANM-0010,2026-07-21T23:00:00,Vessel speed (kn),14.828,15.0,11.0,19.0,False
ANM-0010,2026-07-22T00:00:00,Vessel speed (kn),14.905,15.0,11.0,19.0,False
ANM-0010,2026-07-22T01:00:00,Vessel speed (kn),15.432,15.0,11.0,19.0,False
ANM-0010,2026-07-22T02:00:00,Vessel speed (kn),15.03,15.0,11.0,19.0,False
ANM-0010,2026-07-22T03:00:00,Vessel speed (kn),15.121,15.0,11.0,19.0,False
ANM-0010,2026-07-22T04:00:00,Vessel speed (kn),15.689,15.0,11.0,19.0,False
ANM-0010,2026-07-22T05:00:00,Vessel speed (kn),15.751,15.0,11.0,19.0,False
ANM-0010,2026-07-22T06:00:00,Vessel speed (kn),15.717,15.0,11.0,19.0,False
ANM-0010,2026-07-22T07:00:00,Vessel speed (kn),15.71,15.0,11.0,19.0,False
ANM-0010,2026-07-22T08:00:00,Vessel speed (kn),15.927,15.0,11.0,19.0,False
ANM-0010,2026-07-22T09:00:00,Vessel speed (kn),16.498,15.0,11.0,19.0,True
ANM-0011,2026-07-21T04:00:00,Draft (m),10.905,10.8,8.0,13.5,False
ANM-0011,2026-07-21T05:00:00,Draft (m),10.959,10.8,8.0,13.5,False
ANM-0011,2026-07-21T06:00:00,Draft (m),10.893,10.8,8.0,13.5,False
ANM-0011,2026-07-21T07:00:00,Draft (m),10.857,10.8,8.0,13.5,False
ANM-0011,2026-07-21T08:00:00,Draft (m),10.813,10.8,8.0,13.5,False
ANM-0011,2026-07-21T09:00:00,Draft (m),10.819,10.8,8.0,13.5,False
ANM-0011,2026-07-21T10:00:00,Draft (m),10.688,10.8,8.0,13.5,False
ANM-0011,2026-07-21T11:00:00,Draft (m),10.78,10.8,8.0,13.5,False
ANM-0011,2026-07-21T12:00:00,Draft (m),10.563,10.8,8.0,13.5,False
ANM-0011,2026-07-21T13:00:00,Draft (m),10.523,10.8,8.0,13.5,False
ANM-0011,2026-07-21T14:00:00,Draft (m),10.824,10.8,8.0,13.5,False
ANM-0011,2026-07-21T15:00:00,Draft (m),10.668,10.8,8.0,13.5,False
ANM-0011,2026-07-21T16:00:00,Draft (m),10.943,10.8,8.0,13.5,False
ANM-0011,2026-07-21T17:00:00,Draft (m),10.859,10.8,8.0,13.5,False
ANM-0011,2026-07-21T18:00:00,Draft (m),11.003,10.8,8.0,13.5,False
ANM-0011,2026-07-21T19:00:00,Draft (m),11.028,10.8,8.0,13.5,False
ANM-0011,2026-07-21T20:00:00,Draft (m),10.926,10.8,8.0,13.5,False
ANM-0011,2026-07-21T21:00:00,Draft (m),10.728,10.8,8.0,13.5,False
ANM-0011,2026-07-21T22:00:00,Draft (m),10.429,10.8,8.0,13.5,False
ANM-0011,2026-07-21T23:00:00,Draft (m),10.495,10.8,8.0,13.5,False
ANM-0011,2026-07-22T00:00:00,Draft (m),10.193,10.8,8.0,13.5,False
ANM-0011,2026-07-22T01:00:00,Draft (m),9.591,10.8,8.0,13.5,False
ANM-0011,2026-07-22T02:00:00,Draft (m),9.61,10.8,8.0,13.5,False
ANM-0011,2026-07-22T03:00:00,Draft (m),9.452,10.8,8.0,13.5,False
ANM-0011,2026-07-22T04:00:00,Draft (m),9.297,10.8,8.0,13.5,True
ANM-0012,2026-07-20T23:00:00,Engine load (%),70.759,70.0,35.0,90.0,False
ANM-0012,2026-07-21T00:00:00,Engine load (%),69.425,70.0,35.0,90.0,False
ANM-0012,2026-07-21T01:00:00,Engine load (%),71.943,70.0,35.0,90.0,False
ANM-0012,2026-07-21T02:00:00,Engine load (%),70.647,70.0,35.0,90.0,False
ANM-0012,2026-07-21T03:00:00,Engine load (%),69.825,70.0,35.0,90.0,False
ANM-0012,2026-07-21T04:00:00,Engine load (%),70.682,70.0,35.0,90.0,False
ANM-0012,2026-07-21T05:00:00,Engine load (%),71.033,70.0,35.0,90.0,False
ANM-0012,2026-07-21T06:00:00,Engine load (%),70.801,70.0,35.0,90.0,False
ANM-0012,2026-07-21T07:00:00,Engine load (%),70.152,70.0,35.0,90.0,False
ANM-0012,2026-07-21T08:00:00,Engine load (%),69.458,70.0,35.0,90.0,False
