asset_id,asset_name,asset_category,vessel_or_terminal,location,manufacturer,running_hours,last_maintenance_date,next_planned_maintenance_date,health_score,failure_probability_percentage,remaining_useful_life_hours,criticality,predicted_failure_mode,recommended_action,spare_part_required,spare_part_availability,estimated_downtime_hours,estimated_failure_cost_usd,maintenance_status,owner,work_order_reference
MA-011,Generator 11,Generator,MV Atlas Wind,Pump Room,Nordic Power,17432,2026-03-30,2026-10-10,52,51.8,753,High,Bearing degradation,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Low Stock,36,131717,Monitoring,Unassigned,
MA-012,Pump 12,Pump,MV Gulf Pioneer,Berth 2,Harbour Dynamics,13078,2026-01-18,2026-09-25,48,57.9,929,Critical,Cooling efficiency loss,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Unavailable,16,373437,Inspection Scheduled,Unassigned,
MA-013,Turbocharger 13,Turbocharger,MV Horizon Star,Yard A,Maritech Works,18484,2026-02-17,2026-09-27,54,58.1,835,Low,Seal leakage,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Available,9,247086,New,Unassigned,
MA-014,Quay Crane 14,Quay Crane,South Container Terminal,Reefer Stack,Oceanic Systems,6168,2026-02-07,2026-07-31,81,33.8,1619,Medium,Electrical insulation deterioration,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Low Stock,17,122284,In Progress,Unassigned,
MA-015,Terminal Tractor 15,Terminal Tractor,North Container Terminal,Engine Room,Nordic Power,7976,2026-02-07,2026-09-24,97,16.3,1899,High,Hydraulic pressure loss,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Unavailable,30,129176,Completed,Unassigned,
MA-016,Reefer Power Unit 16,Reefer Power Unit,South Container Terminal,Machinery Space,Harbour Dynamics,24189,2026-02-11,2026-10-23,87,26.0,1377,Critical,Bearing degradation,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Available,32,278000,Monitoring,Unassigned,
MA-017,Main Engine 17,Main Engine,MV Atlas Wind,Generator Deck,Maritech Works,10770,2026-02-25,2026-09-12,67,34.8,968,Low,Cooling efficiency loss,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Low Stock,54,323318,Inspection Scheduled,Unassigned,
MA-018,Auxiliary Engine 18,Auxiliary Engine,MV Gulf Pioneer,Pump Room,Oceanic Systems,24426,2026-01-08,2026-08-16,73,31.9,895,Medium,Seal leakage,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Unavailable,68,259791,New,Unassigned,
MA-019,Generator 19,Generator,MV Horizon Star,Berth 2,Nordic Power,25685,2026-03-12,2026-10-24,59,55.7,1066,High,Electrical insulation deterioration,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Available,36,276165,In Progress,Unassigned,
MA-020,Pump 20,Pump,MV Ocean Crest,Yard A,Harbour Dynamics,19070,2025-12-24,2026-07-07,60,45.1,630,Critical,Hydraulic pressure loss,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Low Stock,61,62857,Completed,Unassigned,
MA-021,Turbocharger 21,Turbocharger,MV Meridian,Reefer Stack,Maritech Works,7615,2026-03-30,2026-09-16,51,53.3,1183,Low,Bearing degradation,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Unavailable,34,258996,Monitoring,Unassigned,
MA-022,Quay Crane 22,Quay Crane,South Container Terminal,Engine Room,Oceanic Systems,13212,2026-02-25,2026-08-28,57,42.0,636,Medium,Cooling efficiency loss,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Available,16,107220,Inspection Scheduled,Unassigned,
MA-023,Terminal Tractor 23,Terminal Tractor,North Container Terminal,Machinery Space,Nordic Power,24666,2026-01-21,2026-08-02,73,29.7,1131,High,Seal leakage,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Low Stock,27,240529,New,Unassigned,
MA-024,Reefer Power Unit 24,Reefer Power Unit,South Container Terminal,Generator Deck,Harbour Dynamics,5374,2026-02-19,2026-10-01,62,39.6,1408,Critical,Electrical insulation deterioration,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Unavailable,36,289378,In Progress,Unassigned,
MA-025,Main Engine 25,Main Engine,MV Horizon Star,Pump Room,Maritech Works,6967,2026-02-14,2026-08-20,60,40.1,856,Low,Hydraulic pressure loss,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Available,60,92508,Completed,Unassigned,
MA-026,Auxiliary Engine 26,Auxiliary Engine,MV Ocean Crest,Berth 2,Oceanic Systems,20063,2026-01-11,2026-08-26,46,68.8,745,Medium,Bearing degradation,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Low Stock,70,350704,Monitoring,Unassigned,
MA-027,Generator 27,Generator,MV Meridian,Yard A,Nordic Power,3454,2025-12-15,2026-09-20,70,35.7,1495,High,Cooling efficiency loss,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Unavailable,43,178516,Inspection Scheduled,Unassigned,
MA-028,Pump 28,Pump,MV Blue Mariner,Reefer Stack,Harbour Dynamics,13819,2026-01-22,2026-07-17,66,43.5,739,Critical,Seal leakage,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Available,27,80890,New,Unassigned,
MA-029,Turbocharger 29,Turbocharger,MV Atlas Wind,Engine Room,Maritech Works,1713,2025-11-23,2026-09-17,97,8.1,2096,Low,Electrical insulation deterioration,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Low Stock,7,165857,In Progress,Unassigned,
MA-030,Quay Crane 30,Quay Crane,South Container Terminal,Machinery Space,Oceanic Systems,10380,2026-04-03,2026-10-13,79,23.2,1585,Medium,Hydraulic pressure loss,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Unavailable,50,222580,Completed,Unassigned,
MA-031,Terminal Tractor 31,Terminal Tractor,North Container Terminal,Generator Deck,Nordic Power,14899,2026-02-01,2026-07-20,77,34.4,1417,High,Bearing degradation,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Available,6,36770,Monitoring,Unassigned,
MA-032,Reefer Power Unit 32,Reefer Power Unit,South Container Terminal,Pump Room,Harbour Dynamics,5797,2025-12-01,2026-07-10,89,22.8,1188,Critical,Cooling efficiency loss,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Low Stock,15,82457,Inspection Scheduled,Unassigned,
MA-033,Main Engine 33,Main Engine,MV Meridian,Berth 2,Maritech Works,23663,2026-03-22,2026-08-06,51,52.4,848,Low,Seal leakage,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Unavailable,29,164739,New,Unassigned,
MA-034,Auxiliary Engine 34,Auxiliary Engine,MV Blue Mariner,Yard A,Oceanic Systems,22513,2026-01-27,2026-09-15,97,17.5,1927,Medium,Electrical insulation deterioration,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Available,61,68698,In Progress,Unassigned,
MA-035,Generator 35,Generator,MV Atlas Wind,Reefer Stack,Nordic Power,13359,2026-03-22,2026-07-23,97,5.0,1390,High,Hydraulic pressure loss,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Low Stock,31,296134,Completed,Unassigned,
MA-036,Pump 36,Pump,MV Gulf Pioneer,Engine Room,Harbour Dynamics,2289,2026-01-31,2026-07-12,53,59.6,1097,Critical,Bearing degradation,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Unavailable,26,320806,Monitoring,Unassigned,
MA-037,Turbocharger 37,Turbocharger,MV Horizon Star,Machinery Space,Maritech Works,11496,2026-01-20,2026-08-07,73,36.2,1674,Low,Cooling efficiency loss,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Available,55,132671,Inspection Scheduled,Unassigned,
MA-038,Quay Crane 38,Quay Crane,South Container Terminal,Generator Deck,Oceanic Systems,16517,2026-02-02,2026-07-20,95,4.0,1954,Medium,Seal leakage,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Low Stock,63,58535,New,Unassigned,
MA-039,Terminal Tractor 39,Terminal Tractor,North Container Terminal,Pump Room,Nordic Power,2694,2025-12-14,2026-08-21,73,38.8,1120,High,Electrical insulation deterioration,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Unavailable,14,180759,In Progress,Unassigned,
MA-040,Reefer Power Unit 40,Reefer Power Unit,South Container Terminal,Berth 2,Harbour Dynamics,19233,2025-11-23,2026-07-09,44,55.7,1004,Critical,Hydraulic pressure loss,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Available,45,318373,Completed,Unassigned,
MA-041,Main Engine 41,Main Engine,MV Atlas Wind,Yard A,Maritech Works,27205,2026-02-15,2026-07-02,92,21.0,1341,Low,Bearing degradation,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Low Stock,49,203507,Monitoring,Unassigned,
MA-042,Auxiliary Engine 42,Auxiliary Engine,MV Gulf Pioneer,Reefer Stack,Oceanic Systems,19392,2026-04-25,2026-09-08,73,32.1,1594,Medium,Cooling efficiency loss,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Unavailable,50,189164,Inspection Scheduled,Unassigned,
MA-043,Generator 43,Generator,MV Horizon Star,Engine Room,Nordic Power,3604,2026-05-09,2026-09-11,82,29.3,1773,High,Seal leakage,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Available,24,36993,New,Unassigned,
MA-044,Pump 44,Pump,MV Ocean Crest,Machinery Space,Harbour Dynamics,10654,2026-01-05,2026-09-10,45,55.4,756,Critical,Electrical insulation deterioration,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Low Stock,13,302129,In Progress,Unassigned,
MA-045,Turbocharger 45,Turbocharger,MV Meridian,Generator Deck,Maritech Works,12627,2026-03-24,2026-10-03,42,68.6,362,Low,Hydraulic pressure loss,Inspect condition indicators and validate during a controlled maintenance window,Bearing kit,Unavailable,65,217809,Completed,Unassigned,
MA-046,Quay Crane 46,Quay Crane,South Container Terminal,Pump Room,Oceanic Systems,8219,2026-04-15,2026-07-22,95,14.1,2054,Medium,Bearing degradation,Inspect condition indicators and validate during a controlled maintenance window,Seal kit,Available,27,139424,Monitoring,Unassigned,
MA-047,Terminal Tractor 47,Terminal Tractor,North Container Terminal,Berth 2,Nordic Power,11866,2026-02-24,2026-09-24,70,44.7,1356,High,Cooling efficiency loss,Inspect condition indicators and validate during a controlled maintenance window,Filter set,Low Stock,5,293777,Inspection Scheduled,Unassigned,
MA-048,Reefer Power Unit 48,Reefer Power Unit,South Container Terminal,Yard A,Harbour Dynamics,9849,2026-02-04,2026-09-23,55,59.4,872,Critical,Seal leakage,Inspect condition indicators and validate during a controlled maintenance window,Sensor module,Unavailable,35,278254,New,Unassigned,
