task_id,created_timestamp,workflow_name,module_source,vessel_or_terminal,asset_or_reference,task_description,AI_recommendation,confidence_score,risk_level,human_approval_required,assigned_owner,due_date,status,automation_level,estimated_time_saved_minutes,estimated_value_usd,final_decision,decision_comment
AUT-0015,2026-07-21T14:00:00,Voyage-delay notification,Voyage & Fuel Optimisation,South Container Terminal,REF-2614,Prepare synthetic voyage-delay notification output,Review the generated draft and approve only after human validation,86,High,True,Operations Manager,2026-07-27,Awaiting Approval,Level 3: Controlled execution after approval,75,1220,,
AUT-0016,2026-07-21T11:00:00,Berth-plan adjustment recommendation,Fleet Overview,MV Horizon Star,REF-2615,Prepare synthetic berth-plan adjustment recommendation output,Review the generated draft and approve only after human validation,87,Low,False,Unassigned,2026-07-28,Approved,Level 1: Administrative assistance,85,1495,,
AUT-0017,2026-07-21T08:00:00,Fuel-deviation review,Safety Monitoring,Fleet-wide,REF-2616,Prepare synthetic fuel-deviation review output,Review the generated draft and approve only after human validation,88,Medium,True,Digital Operations Analyst,2026-07-29,Rejected,Level 2: Decision recommendation,15,1770,,
AUT-0018,2026-07-21T05:00:00,Safety observation classification,Automation Centre,North Container Terminal,REF-2617,Prepare synthetic safety observation classification output,Review the generated draft and approve only after human validation,89,High,True,Operations Manager,2026-07-30,Executed,Level 3: Controlled execution after approval,25,2045,,
AUT-0019,2026-07-21T02:00:00,Corrective-action reminder,Predictive Maintenance,South Container Terminal,REF-2618,Prepare synthetic corrective-action reminder output,Review the generated draft and approve only after human validation,90,Low,False,Unassigned,2026-07-31,Created,Level 1: Administrative assistance,35,2320,,
AUT-0020,2026-07-20T23:00:00,Invoice exception review,Anomaly Detection,MV Horizon Star,REF-2619,Prepare synthetic invoice exception review output,Review the generated draft and approve only after human validation,91,Medium,True,Digital Operations Analyst,2026-08-01,Under Review,Level 2: Decision recommendation,45,2595,,
AUT-0021,2026-07-20T20:00:00,Cargo-document validation,Voyage & Fuel Optimisation,Fleet-wide,REF-2620,Prepare synthetic cargo-document validation output,Review the generated draft and approve only after human validation,92,High,True,Operations Manager,2026-07-23,Awaiting Approval,Level 3: Controlled execution after approval,55,120,,
AUT-0022,2026-07-20T17:00:00,Reefer inspection request,Fleet Overview,North Container Terminal,REF-2621,Prepare synthetic reefer inspection request output,Review the generated draft and approve only after human validation,93,Low,False,Unassigned,2026-07-24,Approved,Level 1: Administrative assistance,65,395,,
AUT-0023,2026-07-20T14:00:00,Daily management summary preparation,Safety Monitoring,South Container Terminal,REF-2622,Prepare synthetic daily management summary preparation output,Review the generated draft and approve only after human validation,94,Medium,True,Digital Operations Analyst,2026-07-25,Rejected,Level 2: Decision recommendation,75,670,,
AUT-0024,2026-07-20T11:00:00,Spare-parts reorder recommendation,Automation Centre,MV Horizon Star,REF-2623,Prepare synthetic spare-parts reorder recommendation output,Review the generated draft and approve only after human validation,95,High,True,Operations Manager,2026-07-26,Executed,Level 3: Controlled execution after approval,85,945,,
AUT-0025,2026-07-20T08:00:00,Maintenance work-order drafting,Predictive Maintenance,Fleet-wide,REF-2624,Prepare synthetic maintenance work-order drafting output,Review the generated draft and approve only after human validation,72,Low,False,Unassigned,2026-07-27,Created,Level 1: Administrative assistance,15,1220,,
AUT-0026,2026-07-20T05:00:00,Alert classification,Anomaly Detection,North Container Terminal,REF-2625,Prepare synthetic alert classification output,Review the generated draft and approve only after human validation,73,Medium,True,Digital Operations Analyst,2026-07-28,Under Review,Level 2: Decision recommendation,25,1495,,
AUT-0027,2026-07-20T02:00:00,Voyage-delay notification,Voyage & Fuel Optimisation,South Container Terminal,REF-2626,Prepare synthetic voyage-delay notification output,Review the generated draft and approve only after human validation,74,High,True,Operations Manager,2026-07-29,Awaiting Approval,Level 3: Controlled execution after approval,35,1770,,
AUT-0028,2026-07-19T23:00:00,Berth-plan adjustment recommendation,Fleet Overview,MV Horizon Star,REF-2627,Prepare synthetic berth-plan adjustment recommendation output,Review the generated draft and approve only after human validation,75,Low,False,Unassigned,2026-07-30,Approved,Level 1: Administrative assistance,45,2045,,
AUT-0029,2026-07-19T20:00:00,Fuel-deviation review,Safety Monitoring,Fleet-wide,REF-2628,Prepare synthetic fuel-deviation review output,Review the generated draft and approve only after human validation,76,Medium,True,Digital Operations Analyst,2026-07-31,Rejected,Level 2: Decision recommendation,55,2320,,
AUT-0030,2026-07-19T17:00:00,Safety observation classification,Automation Centre,North Container Terminal,REF-2629,Prepare synthetic safety observation classification output,Review the generated draft and approve only after human validation,77,High,True,Operations Manager,2026-08-01,Executed,Level 3: Controlled execution after approval,65,2595,,
