event_id,timestamp,event_type,detection_source,vessel_or_terminal,location,severity,description,persons_exposed,immediate_action,recommended_corrective_action,responsible_owner,due_date,status,overdue_flag,risk_score,evidence_reference,risk_level,owner,event_date
SE-0026,2026-07-19T04:00:00,Worker and vehicle proximity,Operator observation,South Container Terminal,Yard A,Medium,Synthetic worker and vehicle proximity observation for workflow demonstration,3,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-11,New,False,44,SYN-EVID-0026,Medium,Unassigned,2026-07-23
SE-0027,2026-07-19T00:00:00,Restricted-area entry,Sensor alarm,MV Horizon Star,Workshop,High,Synthetic restricted-area entry observation for workflow demonstration,1,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-07,Acknowledged,False,67,SYN-EVID-0027,High,Unassigned,2026-07-23
SE-0028,2026-07-18T20:00:00,Unsafe lifting activity,Supervisor inspection,MV Meridian,Reefer Stack,Critical,Synthetic unsafe lifting activity observation for workflow demonstration,6,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-14,Under Review,True,100,SYN-EVID-0028,Critical,Unassigned,2026-07-23
SE-0029,2026-07-18T16:00:00,Person below suspended load,Synthetic camera event,North Container Terminal,Engine Room,Low,Synthetic person below suspended load observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-03,In Progress,False,32,SYN-EVID-0029,Low,Unassigned,2026-07-23
SE-0030,2026-07-18T12:00:00,Vehicle speeding,Operator observation,South Container Terminal,Access Gate,Medium,Synthetic vehicle speeding observation for workflow demonstration,6,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-03,Closed,False,50,SYN-EVID-0030,Medium,Unassigned,2026-07-23
SE-0031,2026-07-18T08:00:00,Fire or smoke observation,Sensor alarm,MV Horizon Star,Berth 1,High,Synthetic fire or smoke observation observation for workflow demonstration,4,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-15,New,False,73,SYN-EVID-0031,High,Unassigned,2026-07-23
SE-0032,2026-07-18T04:00:00,Oil or chemical spill,Supervisor inspection,MV Meridian,Yard A,Critical,Synthetic oil or chemical spill observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-05,Acknowledged,False,99,SYN-EVID-0032,Critical,Unassigned,2026-07-23
SE-0033,2026-07-18T00:00:00,Unsafe working at height,Synthetic camera event,North Container Terminal,Workshop,Low,Synthetic unsafe working at height observation for workflow demonstration,4,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-11,Under Review,False,26,SYN-EVID-0033,Low,Unassigned,2026-07-23
SE-0034,2026-07-17T20:00:00,Fatigue or excessive overtime,Operator observation,South Container Terminal,Reefer Stack,Medium,Synthetic fatigue or excessive overtime observation for workflow demonstration,1,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-16,In Progress,False,40,SYN-EVID-0034,Medium,Unassigned,2026-07-23
SE-0035,2026-07-17T16:00:00,Near miss,Sensor alarm,MV Horizon Star,Engine Room,High,Synthetic near miss observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-05,Closed,False,79,SYN-EVID-0035,High,Unassigned,2026-07-23
SE-0036,2026-07-17T12:00:00,Equipment safety interlock alarm,Supervisor inspection,MV Meridian,Access Gate,Critical,Synthetic equipment safety interlock alarm observation for workflow demonstration,1,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-03,New,False,87,SYN-EVID-0036,Critical,Unassigned,2026-07-23
SE-0037,2026-07-17T08:00:00,Missing PPE,Synthetic camera event,North Container Terminal,Berth 1,Low,Synthetic missing ppe observation for workflow demonstration,2,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-16,Acknowledged,True,34,SYN-EVID-0037,Low,Unassigned,2026-07-23
SE-0038,2026-07-17T04:00:00,Worker and vehicle proximity,Operator observation,South Container Terminal,Yard A,Medium,Synthetic worker and vehicle proximity observation for workflow demonstration,1,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-02,Under Review,False,40,SYN-EVID-0038,Medium,Unassigned,2026-07-23
SE-0039,2026-07-17T00:00:00,Restricted-area entry,Sensor alarm,MV Horizon Star,Workshop,High,Synthetic restricted-area entry observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-18,In Progress,True,91,SYN-EVID-0039,High,Unassigned,2026-07-23
SE-0040,2026-07-16T20:00:00,Unsafe lifting activity,Supervisor inspection,MV Meridian,Reefer Stack,Critical,Synthetic unsafe lifting activity observation for workflow demonstration,2,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-19,Closed,False,89,SYN-EVID-0040,Critical,Unassigned,2026-07-23
SE-0041,2026-07-16T16:00:00,Person below suspended load,Synthetic camera event,North Container Terminal,Engine Room,Low,Synthetic person below suspended load observation for workflow demonstration,1,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-07,New,False,20,SYN-EVID-0041,Low,Unassigned,2026-07-23
SE-0042,2026-07-16T12:00:00,Vehicle speeding,Operator observation,South Container Terminal,Access Gate,Medium,Synthetic vehicle speeding observation for workflow demonstration,1,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-13,Acknowledged,False,40,SYN-EVID-0042,Medium,Unassigned,2026-07-23
SE-0043,2026-07-16T08:00:00,Fire or smoke observation,Sensor alarm,MV Horizon Star,Berth 1,High,Synthetic fire or smoke observation observation for workflow demonstration,3,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-06,Under Review,False,71,SYN-EVID-0043,High,Unassigned,2026-07-23
SE-0044,2026-07-16T04:00:00,Oil or chemical spill,Supervisor inspection,MV Meridian,Yard A,Critical,Synthetic oil or chemical spill observation for workflow demonstration,6,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-06,In Progress,False,97,SYN-EVID-0044,Critical,Unassigned,2026-07-23
SE-0045,2026-07-16T00:00:00,Unsafe working at height,Synthetic camera event,North Container Terminal,Workshop,Low,Synthetic unsafe working at height observation for workflow demonstration,4,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-01,Closed,False,26,SYN-EVID-0045,Low,Unassigned,2026-07-23
SE-0046,2026-07-15T20:00:00,Fatigue or excessive overtime,Operator observation,South Container Terminal,Reefer Stack,Medium,Synthetic fatigue or excessive overtime observation for workflow demonstration,1,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-16,New,True,52,SYN-EVID-0046,Medium,Unassigned,2026-07-23
SE-0047,2026-07-15T16:00:00,Near miss,Sensor alarm,MV Horizon Star,Engine Room,High,Synthetic near miss observation for workflow demonstration,7,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-08-14,Acknowledged,False,79,SYN-EVID-0047,High,Unassigned,2026-07-23
SE-0048,2026-07-15T12:00:00,Equipment safety interlock alarm,Supervisor inspection,MV Meridian,Access Gate,Critical,Synthetic equipment safety interlock alarm observation for workflow demonstration,4,Area made safe and supervisor informed,"Review conditions, brief personnel and verify controls",Unassigned,2026-07-21,Under Review,True,100,SYN-EVID-0048,Critical,Unassigned,2026-07-23
